,date,n_tweets,n_likes,n_quotes,cluster_0,cluster_1,cluster_2,cluster_3
0,2020-04-30,1.0,3.0,0.0,0.0,0.0,1.0,0.0
1,2020-05-31,1.0,8.0,0.0,0.0,1.0,0.0,0.0
2,2020-06-30,6.0,35.0,0.0,0.0,3.0,3.0,0.0
3,2020-07-31,3.0,26.0,0.0,0.0,2.0,1.0,0.0
4,2020-08-31,1.0,2.0,0.0,0.0,1.0,0.0,0.0
5,2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-11-30,1.0,4.0,0.0,0.0,0.0,1.0,0.0
8,2020-12-31,1.0,3.0,0.0,0.0,0.0,1.0,0.0
9,2021-01-31,2.0,4.0,0.0,0.0,1.0,1.0,0.0
10,2021-02-28,2.0,6.0,0.0,0.0,1.0,1.0,0.0
11,2021-03-31,2.0,5.0,0.0,0.0,1.0,1.0,0.0
12,2021-04-30,5.0,30.0,1.0,0.0,2.0,3.0,0.0
13,2021-05-31,3.0,13.0,0.0,0.0,1.0,2.0,0.0
14,2021-06-30,13.0,33.0,2.0,0.0,9.0,4.0,0.0
15,2021-07-31,2.0,8.0,0.0,0.0,0.0,2.0,0.0
16,2021-08-31,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17,2021-09-30,3.0,17.0,0.0,0.0,2.0,1.0,0.0
18,2021-10-31,7.0,65.0,0.0,0.0,6.0,1.0,0.0
19,2021-11-30,6.0,24.0,0.0,0.0,4.0,2.0,0.0
20,2021-12-31,6.0,139.0,6.0,0.0,4.0,2.0,0.0
21,2022-01-31,5.0,11.0,1.0,0.0,5.0,0.0,0.0
22,2022-02-28,13.0,91.0,1.0,0.0,10.0,3.0,0.0
23,2022-03-31,9.0,102.0,0.0,0.0,6.0,3.0,0.0
24,2022-04-30,36.0,500.0,12.0,0.0,14.0,22.0,0.0
25,2022-05-31,134.0,3285.0,251.0,0.0,94.0,40.0,0.0
26,2022-06-30,1627.0,40796.0,1104.0,30.0,1315.0,248.0,34.0
27,2022-07-31,599.0,15841.0,396.0,38.0,430.0,85.0,46.0
28,2022-08-31,2.0,0.0,0.0,0.0,0.0,2.0,0.0
